id,host_id,neighbourhood_group,neighbourhood,room_type,latitude,longitude,price,price_capped,price_log10,minimum_nights,minimum_nights_capped,number_of_reviews,number_of_reviews_ltm,reviews_per_month,calculated_host_listings_count,availability_365,last_review,license
572940417677461635,3296218,Isole,San Marco,Private room,45.43259,12.33105,166.0,166.0,2.220108088040055,1,1,60,36,1.5,2,330,2025-08-25,IT027042B4UL68HISV
573058407268276258,445053551,Isole,Castello,Entire home/apt,45.431713,12.353058,452.0,452.0,2.655138434811382,1,1,41,16,1.03,7,72,2025-07-27,IT027042B4K5HODP9K
573069926770279771,445053551,Isole,Castello,Entire home/apt,45.431713,12.353058,379.0,379.0,2.578639209968072,1,1,2,0,0.09,7,79,2023-10-16,IT027042B4K5HODP9K
573253197204357332,238463812,Isole,Cannaregio,Entire home/apt,45.443626403808594,12.326094627380373,180.0,180.0,2.255272505103306,2,2,107,38,2.75,13,309,2025-08-22,IT027042C2OG82LYOI
573532983849394263,136461490,Terraferma,Marghera,Entire home/apt,45.46992,12.22508,131.0,131.0,2.1172712956557644,2,2,97,10,2.34,1,301,2025-08-13,IT027042C2ZRUBIHPG
573565733913244581,447507535,Isole,San Marco,Entire home/apt,45.43308873142111,12.329606582207695,179.0,179.0,2.2528530309798933,2,2,10,10,4.62,1,317,2025-08-21,IT027042C2GG86XEUT
573745881750599659,152185568,Isole,Cannaregio,Entire home/apt,45.44399,12.32116,115.0,115.0,2.060697840353612,3,3,61,17,1.46,1,310,2025-09-04,IT027042C2SVASBTDX
573767418471558024,12071881,Isole,Giudecca,Entire home/apt,45.425983,12.323898,174.0,174.0,2.2405492482825995,5,5,23,5,0.56,1,332,2025-07-07,IT027042C28MXS6CQG
573947382884128981,447603132,Isole,Lido,Entire home/apt,45.41176,12.36892,240.0,240.0,2.380211241711606,2,2,31,8,0.79,1,315,2025-08-04,IT027042C2BWBV3ZUZ
574492497052969631,154175498,Isole,San Marco,Private room,45.434597,12.330055,380.0,380.0,2.57978359661681,2,2,13,0,0.31,4,365,2024-03-31,IT027042B4BZNR4Z5C
574527589761846522,154175498,Isole,San Marco,Private room,45.43462,12.33004,190.0,190.0,2.278753600952829,2,2,15,1,0.36,4,365,2024-10-13,IT027042B4BZNR4Z5C
574661452294089121,9017175,Isole,San Marco,Entire home/apt,45.43393,12.33337,140.0,140.0,2.146128035678238,1,1,87,8,2.06,18,341,2025-07-20,IT027042B4O6P2LGRB
574688094973776891,4338442,Isole,Castello,Entire home/apt,45.43141707950092,12.353790235366104,140.0,140.0,2.146128035678238,2,2,294,92,8.03,2,245,2025-08-27,IT027042C2O6D9CY9O
575220665085353204,15967968,Isole,San Polo,Private room,45.439217,12.329042,103.0,103.0,2.012837224705172,3,3,151,46,3.69,2,37,2025-08-27,IT027042C1VAEBLZ46
575344810157317303,406212926,Isole,Cannaregio,Entire home/apt,45.44485305490294,12.329129796958934,189.0,189.0,2.2764618041732443,2,2,81,36,2.88,1,326,2025-08-21,IT027042C2AUIYYNSY
575923546519189108,351293467,Terraferma,San Lorenzo XXV Aprile,Entire home/apt,45.495,12.24983,81.0,81.0,1.9084850188786497,1,1,76,19,1.86,1,285,2025-08-04,IT027042C2QX5HPKKL
576618350610856976,448199337,Isole,Castello,Entire home/apt,45.437511,12.339094,135.0,135.0,2.130333768495006,1,1,247,63,5.88,6,56,2025-09-10,IT027042C2LAF46ROZ
576643061692661501,448199337,Isole,Castello,Entire home/apt,45.437519,12.339108,112.0,112.0,2.0492180226701815,1,1,272,53,6.45,6,49,2025-08-24,IT027042C2LAF46ROZ
576653048800956797,448199337,Isole,Castello,Entire home/apt,45.43757973453159,12.33894668519497,144.0,144.0,2.1583624920952498,1,1,304,78,7.21,6,49,2025-08-25,IT027042C2LAF46ROZ
576659785984446795,448199337,Isole,Castello,Entire home/apt,45.43667,12.3401,151.0,151.0,2.1789769472931693,1,1,228,49,5.53,6,59,2025-09-04,IT027042C2475TYH3C
576733228936794558,448238306,Terraferma,Marocco Terraglio,Entire home/apt,45.53675,12.23718,329.0,329.0,2.5171958979499744,3,3,5,0,0.14,2,253,2024-04-20,IT026043B4HNF7XZVI
576925166911492754,410029372,Isole,Cannaregio,Entire home/apt,45.441658,12.339793,186.0,186.0,2.2695129442179165,1,1,137,32,3.28,1,270,2025-08-26,IT027042B43HXJRHOR
577196644761909846,409269245,Isole,Santa Croce,Private room,45.44025,12.33157,191.0,191.0,2.2810333672477277,1,1,2,0,0.05,5,123,2024-07-26,IT027042B4XT6GLYLS
577211329093488471,409269245,Isole,Santa Croce,Entire home/apt,45.44014,12.33154,157.0,157.0,2.1958996524092336,1,1,2,2,0.27,5,119,2025-03-14,IT027042B4XT6GLYLS
577250991438354341,409269245,Isole,Santa Croce,Entire home/apt,45.43985,12.33119,175.0,175.0,2.2430380486862944,1,1,5,3,0.2,5,331,2025-01-17,IT027042B4XT6GLYLS
577349344122666441,38346442,Isole,San Marco,Entire home/apt,45.43209494683637,12.33107378006795,99.0,99.0,1.99563519459755,2,2,151,34,3.56,20,60,2025-08-26,It027042c280sr6kq3
577922926609095426,47919894,Isole,Lido,Entire home/apt,45.4148503,12.3714201,156.0,156.0,2.1931245983544616,3,3,24,23,1.91,1,326,2025-09-07,IT027042C2SV8X2SZQ
577995510821144655,65876025,Isole,Lido,Entire home/apt,45.41164,12.371,89.0,89.0,1.9493900066449128,2,2,52,13,1.25,13,252,2025-08-19,IT027042B4Z8DTFC8I
578733875985469454,48940243,Isole,Cannaregio,Entire home/apt,45.44572,12.32109,200.0,200.0,2.3010299956639813,31,31,16,0,0.39,2,279,2023-11-30,
578947058506076747,72445649,Isole,Dorsoduro,Entire home/apt,45.42957,12.33012,161.0,161.0,2.2068258760318495,3,3,74,17,1.78,18,246,2025-09-06,IT027042C2WTBEOGNW
579383223964828561,416824528,Isole,San Polo,Entire home/apt,45.43913,12.33465,383.0,383.0,2.583198773968623,1,1,4,0,0.11,6,347,2023-05-24,IT027042B4SP4WU7P9
579432759681940927,416824528,Isole,San Polo,Entire home/apt,45.43913,12.33465,405.0,405.0,2.6074550232146687,1,1,2,0,0.05,6,339,2024-04-27,IT027042B4SP4WU7P9
579510180700528060,2634978,Isole,Cannaregio,Entire home/apt,45.43993,12.33913,171.0,171.0,2.2329961103921536,1,1,57,15,1.39,142,205,2025-07-27,IT027042C2WCAIO98J
580445110816016537,72445649,Isole,Dorsoduro,Entire home/apt,45.429995,12.326246,149.0,149.0,2.173186268412274,3,3,114,24,2.74,18,253,2025-09-07,IT027042C29MTSSKVY
580818006050015006,449173856,Isole,Castello,Entire home/apt,45.4317,12.35653,216.0,216.0,2.3344537511509307,2,2,187,46,4.5,1,254,2025-08-08,IT027042B42JRQU743
580967599447208359,45896811,Isole,Castello,Private room,45.43478,12.34096,240.0,240.0,2.380211241711606,1,1,32,6,0.77,6,92,2025-08-22,IT027042B4VCSELWYM
582386687359485560,449508936,Isole,Castello,Entire home/apt,45.430935,12.355727,150.0,150.0,2.1760912590556813,2,2,94,24,2.25,4,330,2025-08-06,IT027042C2OMYALXA2
583088604634338476,205703685,Isole,Castello,Entire home/apt,45.43103,12.35507,146.0,146.0,2.164352855784437,1,1,3,1,0.08,29,64,2025-09-02,IT027042B42RVHJ83K
